Date,Total Gross Oil Volume (bbl),Total Net Reveune ($),Total Gross Gas Volume (MCF),Oil Revenue ($),Gas Revenue ($),Total Expenses ($),Net Income ($),Total CAPEX ($),Before Income Tax Cash Flow ($),Total Taxes ($)
2021-12-01,14235.350942408,0.0,30588.785666720003,0.0,0.0,172942.29509079398,-172942.29509079398,7500000.0,-7672942.295090795,0.0
2022-01-01,32790.606479466,1852704.3980898513,75197.854374805,1612560.050143912,240144.347945938,403103.919169458,1301384.127073202,0.0,1301384.127073202,296432.703694377
2022-02-01,23861.390170844003,1363678.74304799,61704.69164183,1169864.3066010028,193814.43644698703,300318.593350259,954265.8502538931,0.0,954265.8502538931,218188.59888768097
2022-03-01,22049.671612795,1265157.031341369,62586.42827089901,1076740.5890318272,188416.442309542,283083.144398852,880861.3244352071,0.0,880861.3244352071,202425.12501462002
2022-04-01,18152.030766154,1040791.0991898959,55711.915218382,882597.115927299,158193.983262596,237232.222879918,720295.5883747861,0.0,720295.5883747861,166526.57587038298
2022-05-01,16279.938426975,938142.067646734,53287.769999626995,788030.419557784,150111.64808895,216087.15426938998,647003.547965607,0.0,647003.547965607,150102.730823478
2022-06-01,13884.841301143,805515.364595196,47987.188743995,669075.790198832,136439.574396365,186835.601755426,554238.533672154,0.0,554238.533672154,128882.45833523301
2022-07-01,12804.567490827001,747588.304524626,46360.686554048,614139.0682788009,133449.236245827,174406.36146232102,513374.87870033603,0.0,513374.87870033603,119614.12872394198
2022-08-01,11524.795154043,675651.9504522639,43477.357482826,550078.472702492,125573.47774977199,158725.309023259,462874.48539282195,0.0,462874.48539282195,108104.31207236499
2022-09-01,10141.376469241,595877.182866795,39642.554697054,481766.089171325,114111.09369546999,141056.319389471,407150.68884798,0.0,407150.68884798,95340.349258686
2022-10-01,9598.455073904,566278.324934848,38721.843424932,453742.967481139,112535.35745370999,134706.394163975,386269.664776084,0.0,386269.664776084,90604.531989576
2022-11-01,8560.029751774,508588.894436767,35523.107350626,402792.199969764,105796.69446700299,121123.404868374,346778.378013451,0.0,346778.378013451,81374.223109882
2022-12-01,8195.711357892,492545.92908435094,34889.28460141,383743.69505485403,108802.23402949699,116846.39818032,336295.856577281,0.0,336295.856577281,78807.348653497
2023-01-01,7620.633712184,460963.67212013295,33213.655525072,355045.324650683,105918.34746945201,109419.992646917,314666.585703605,0.0,314666.585703605,73754.187539221
2023-02-01,6447.980383190999,387592.079328353,28685.048913029,298912.250613727,88679.828714626,93164.85274492801,263419.86023715703,0.0,263419.86023715703,62014.73269253601
