Date,Total Gross Oil Volume (bbl)
12/1/2021,12928.96894
1/1/2022,21130.54904
2/1/2022,15461.26521
3/1/2022,14343.45883
4/1/2022,11844.39904
5/1/2022,10648.18434
6/1/2022,9098.996206
7/1/2022,8404.163627
8/1/2022,7574.187791
9/1/2022,6672.318072
10/1/2022,6321.051307
11/1/2022,5641.79929
12/1/2022,5405.534516
1/1/2023,5029.453135
2/1/2023,4257.836306
3/1/2023,4434.040127
4/1/2023,4040.438362
5/1/2023,3943.097262
6/1/2023,3613.394489
7/1/2023,3544.426397
8/1/2023,3369.388151
9/1/2023,3108.571949
10/1/2023,3068.16637
11/1/2023,2840.943186
12/1/2023,2813.426703
1/1/2024,2698.534514
2/1/2024,2427.898563
3/1/2024,2499.319613
4/1/2024,2330.520148
5/1/2024,2323.105116
6/1/2024,2171.034487
7/1/2024,2168.661164
8/1/2024,2097.290496
9/1/2024,1965.682691
10/1/2024,1968.907518
11/1/2024,1848.436746
12/1/2024,1854.399193
1/1/2025,1800.83791
2/1/2025,1582.863894
3/1/2025,1706.47396
4/1/2025,1607.624169
5/1/2025,1618.141854
6/1/2025,1526.217387
7/1/2025,1537.944517
8/1/2025,1499.962197
9/1/2025,1417.020629
10/1/2025,1430.103081
11/1/2025,1352.317699
12/1/2025,1366.057237
1/1/2026,1335.51475
2/1/2026,1181.056525
3/1/2026,1280.76438
4/1/2026,1213.612257
5/1/2026,1228.388906
6/1/2026,1164.838815
7/1/2026,1179.858228
8/1/2026,1156.538489
9/1/2026,1097.820835
10/1/2026,1113.068971
11/1/2026,1057.213217
12/1/2026,1072.540381
