Date,Total Gross Oil Volume (bbl),Total Net Reveune ($),Total Gross Gas Volume (MCF),Oil Revenue ($),Gas Revenue ($),Total Expenses ($),Net Income ($),Total CAPEX ($),Before Income Tax Cash Flow ($),Total Taxes ($)
2024-02-01,4897.654127698001,288357.07068049104,25645.729356615,217786.434923428,70570.63575706299,74622.270633599,190666.23439245403,0.0,190666.23439245403,46137.131308876
2026-12-01,2153.745308332,125813.49140323402,13512.271614866,92056.458841396,33757.032561839,35049.724698188,80698.687392786,0.0,80698.687392786,20130.158624516996
2024-11-01,3721.37195657,213397.34635047702,20891.173824475,162772.809380319,50624.536970161,58104.893390162004,138220.665252278,0.0,138220.665252278,34143.575416074
2025-09-01,2848.9930780199998,160413.741947052,16881.311620476,123076.500970461,37337.240976591005,45371.24240067499,102209.40019061,0.0,102209.40019061,25666.198711528003
2024-10-01,3964.598524511,224609.17358468202,22111.989682596,173530.47741788003,51078.6961668,61757.974927715,144882.46477019,0.0,144882.46477019,35937.467773549
2024-08-01,4224.699392969999,238404.543493489,23239.324946500998,185453.741602885,52950.8018906,65486.31887619701,153845.86113781002,0.0,153845.86113781002,38144.72695895601
2023-05-01,7983.502681638,454179.707159092,37425.608544749004,365424.876495222,88754.83066387,117260.635361118,300584.69522524806,0.0,300584.69522524806,72668.753145458
2024-06-01,4375.100283449,245707.773426514,23705.568745481,192974.73575218898,52733.037674322004,67456.57157996301,158594.57997243002,0.0,158594.57997243002,39313.243748242
2025-08-01,3016.081944903,169834.314223361,17787.889412783,130385.222478165,39449.091745198995,47948.708861814,108298.86022367899,0.0,108298.86022367899,27173.490275735996
2022-03-01,29755.884393681998,1705844.869564553,83969.65451255301,1453054.224654511,252790.644910042,381528.49844938004,1187848.781550008,0.0,1187848.781550008,272935.17913033004
2023-01-01,10211.814289069,617478.6515183409,44437.197802001996,475768.42772776296,141710.22379058102,146555.340692698,421525.01870417496,0.0,421525.01870417496,98796.58424293401
2026-11-01,2123.103004801,121526.708382947,13277.24714774,90746.730182696,30779.978200252,34508.277195749,77296.29451656301,0.0,77296.29451656301,19444.273341272
2024-05-01,4682.629803934,261939.015757646,25169.679766471,206855.17158872797,55083.844168920994,71995.977805798,168987.916691239,0.0,168987.916691239,41910.242521226
2022-11-01,11478.260213071,681705.115337649,47543.215314876,540109.534326117,141595.581011532,162325.817445599,464842.888665037,0.0,464842.888665037,109072.818454023
2025-10-01,2874.9936355289997,162386.72621401903,17113.011834642,124113.475245844,38273.250968175,45862.94818994301,103532.839926954,0.0,103532.839926954,25981.876194242002
2022-08-01,15475.402516753,906814.9245148199,58226.941016248005,738640.962124642,168173.962390178,212980.966183781,621288.764369851,0.0,621288.764369851,145090.387922375
2024-01-01,5445.174530021,322281.223554973,28243.203193654997,242868.39697521302,79412.826579758,82694.948493855,213803.777176721,0.0,213803.777176721,51564.995768796
