Date,Total Gross Oil Volume (bbl),Total Net Reveune ($),Total Gross Gas Volume (MCF),Oil Revenue ($),Gas Revenue ($),Total Expenses ($),Net Income ($),Total CAPEX ($),Before Income Tax Cash Flow ($),Total Taxes ($)
2023-09-01,7084.789416190001,1965805.7754686938,490833.97290498996,332260.6151839328,1633545.1602847623,870940.2361748732,908445.993014213,0.0,908445.993014213,372839.0925592068
2023-10-01,7075.858385825997,1974816.0919581605,493909.32599635597,331483.31933808397,1643332.772620077,875005.0521060904,912487.6520268259,0.0,912487.6520268259,374646.77565047814
2023-11-01,6631.997993566998,1858833.9009382394,465524.00332142663,310371.37921566307,1548462.5217225752,823713.7758274172,858766.9705676046,0.0,858766.9705676046,352706.309086422
2023-12-01,6649.618218201002,1869070.4971900568,468575.1946278361,310893.4890572042,1558177.0081328512,828370.039856762,863358.0624518765,0.0,863358.0624518765,354684.78976283385
2024-01-01,6459.825939557002,1818356.3029793922,456293.560080646,301455.669183189,1516900.6337962027,806151.476138839,839661.5493831818,0.0,839661.5493831818,345086.55491474265
2024-02-01,5884.509040494,1657156.4896841806,416069.7275392891,274365.22649234696,1382791.2631918245,734813.8134704639,765099.3169939768,0.0,765099.3169939768,314486.7184394729
2024-03-01,6133.280462741001,1726285.4569223917,433575.96048649796,285723.7424791041,1440561.7144432908,765607.310318981,796887.769224392,0.0,796887.769224392,327580.7547580346
2024-04-01,5791.587288590001,1627763.8503470402,408900.576195732,269585.61079971504,1358178.2395473176,722051.6923591153,751288.8364853244,0.0,751288.8364853244,308846.6430051993
2024-05-01,5846.010347487999,1639338.5212587472,411808.97264760995,271907.265043803,1367431.2562149444,727328.3047858982,756515.1442711886,0.0,756515.1442711886,310990.14440329105
2024-06-01,5531.808522505001,1546570.5361146803,388447.35690255684,257102.1260223001,1289468.410092375,686305.410806191,713600.0185687892,0.0,713600.0185687892,293330.2134794001
2024-07-01,5594.3769249279985,1558308.154096549,391282.5734705931,259825.70191661807,1298482.4521799297,691651.377152983,718914.979522723,0.0,718914.979522723,295483.5948416842
2024-08-01,5477.842025448998,1519187.67109266,381298.16610816686,254238.01808124108,1264949.6530114207,674423.9757710901,700771.9749902826,0.0,700771.9749902826,287983.44066255615
2024-09-01,5196.442969188001,1434150.643636461,359762.402331902,241021.2793548939,1193129.364281567,636799.0291475541,661462.3669240546,0.0,661462.3669240546,271778.49512971897
2024-10-01,5267.330643714999,1445919.1805671167,362480.9812236499,244157.56665676602,1201761.6139103519,642151.1414127168,666810.5589368967,0.0,666810.5589368967,273914.96043500444
2024-11-01,5003.487019229,1365493.2752767836,342063.7649292268,231789.635160306,1133703.640116476,606551.8414618792,629649.688912819,0.0,629649.688912819,258583.48980417804
2024-12-01,5078.065102976,1377188.1951581638,344703.56111163134,235110.475496513,1142077.7196616547,611865.7391330141,634974.9315865773,0.0,634974.9315865773,260695.04887715314
2025-01-01,4988.860693443002,1343869.3973747313,336046.20620704687,230852.12712411987,1113017.2702506068,597179.8049560679,619549.8859373417,0.0,619549.8859373417,254279.41296264488
2025-02-01,4432.880133711999,1186031.2847318084,296286.98025213496,205020.8683483789,981010.4163834351,527138.3914757522,546733.8408371451,0.0,546733.8408371451,224318.10483784205
2025-03-01,4830.354868073003,1283247.6625747578,320235.1449181972,223295.27231496904,1059952.3902597865,570451.471197464,591498.1275809993,0.0,591498.1275809993,242596.12759256497
2025-04-01,4600.263971901003,1212838.1117615965,302312.351722273,212555.75574127308,1000282.3560203208,539253.3319773942,558997.6170222901,0.0,558997.6170222901,229174.32552382097
2025-05-01,4680.067289697001,1224168.2367991412,304759.745941872,216142.51899761506,1008025.717801522,544392.5411608663,564176.3390550091,0.0,564176.3390550091,231198.71316653807
2025-06-01,4460.7777238559975,1157333.64425938,287745.74663921806,205922.8296246949,951410.8146346848,514766.22292132635,533336.4314032777,0.0,533336.4314032777,218461.9798695318
2025-07-01,4541.6337539319975,1168473.2553042118,290117.995480598,209565.3130877549,958907.9422164537,519816.401948216,538434.1041566244,0.0,538434.1041566244,220445.498398744
2025-08-01,4475.293535379998,1141386.8076314437,282980.7044151401,206417.45760348902,934969.3500279554,507860.55815551215,525919.641667288,0.0,525919.641667288,215213.2156172921
2025-09-01,4270.0794035479985,1079513.813209898,267241.7224133418,196873.94373085897,882639.8694790401,480417.0517595453,497381.84947638505,0.0,497381.84947638505,203429.82394792602
2025-10-01,4351.768980115001,1090337.7346982234,269503.2202201941,200563.5765702709,889774.1581279535,485321.2107728231,502342.4484513128,0.0,502342.4484513128,205348.15094816464
2025-11-01,4154.698254970001,1031486.4459567379,254547.28814912398,191410.519817712,840075.92613903,459207.65386152104,475205.51737150294,0.0,475205.51737150294,194146.5494474381
2025-12-01,4236.564453757,1042076.4075418077,256733.548411605,195112.99332844603,846963.4142133677,464003.93988226895,480063.57998739,0.0,480063.57998739,196017.77534430407
2026-01-01,4180.872113835001,1018557.0233626355,250501.89963789997,192481.291377484,826075.7319851501,453611.9274350767,469210.2710820059,0.0,469210.2710820059,191469.64969109025
2026-02-01,3729.8480431179964,900310.5014320272,221042.769835357,171662.031174255,728648.4702577773,401018.4364756741,414724.5930320031,0.0,414724.5930320031,169134.9438487008
2026-03-01,4079.4554800999995,975559.1668903638,239099.833783614,187694.148650793,787865.0182395679,434609.647377467,449372.5298442209,0.0,449372.5298442209,183153.97933734293
