Description,    Date,    Value
368.79
Oil Sales - Bbls, 	Apr 2021, 	953.9
Oil Sales - Bbls, 	May 2021, 	2954.35
Oil Sales - Bbls, 	Jun 2021, 	1409.57
Oil Sales - Bbls, 	Jul 2021, 	3310.64
Oil Sales - Bbls, 	Aug 2021, 	3984.23
Gas Sales - MCF, 	Mar 2021, 	0
Gas Sales - MCF, 	Apr 2021, 	54194.49
Gas Sales - MCF, 	May 2021, 	54379.15
Gas Sales - MCF, 	Jun 2021, 	48127.38
Gas Sales - MCF, 	Jul 2021, 	75891.31
Gas Sales - MCF, 	Aug 2021, 	66363.43
Oil Sales, 	Mar 2021, 	77688.97
Oil Sales, 	Apr 2021, 	53856.57
Oil Sales, 	May 2021, 	176825.32
Oil Sales, 	Jun 2021, 	107340.74
Oil Sales, 	Jul 2021, 	228429.61
Oil Sales, 	Aug 2021, 	256641.97
Gas Sales, 	Mar 2021, 	0
Gas Sales, 	Apr 2021, 	163600.25
Gas Sales, 	May 2021, 	184992.6
Gas Sales, 	Jun 2021, 	203689.58
Gas Sales, 	Jul 2021, 	302691.4
Gas Sales, 	Aug 2021, 	309236.16
Total Revenue, 	Mar 2021, 	77688.97
Total Revenue, 	Apr 2021, 	217456.82
Total Revenue, 	May 2021, 	361817.92000000004
Total Revenue, 	Jun 2021, 	311030.32
Total Revenue, 	Jul 2021, 	531121.01
Total Revenue, 	Aug 2021, 	565878.13
Oil Production Tax, 	Mar 2021, 	0
Oil Production Tax, 	Apr 2021, 	0
Oil Production Tax, 	May 2021, 	0
Oil Production Tax, 	Jun 2021, 	0
Oil Production Tax, 	Jul 2021, 	-1520.57
Oil Production Tax, 	Aug 2021, 	-1385.15
Oil Severance Tax, 	Mar 2021, 	-116.52
Oil Severance Tax, 	Apr 2021, 	-170.86
Oil Severance Tax, 	May 2021, 	-1800.99
Oil Severance Tax, 	Jun 2021, 	-6848.68
Oil Severance Tax, 	Jul 2021, 	-5117.81
Oil Severance Tax, 	Aug 2021, 	-9474.31
Oil Ad Valorem Tax, 	Mar 2021, 	-2330.66
Oil Ad Valorem Tax, 	Apr 2021, 	-1577.36
Oil Ad Valorem Tax, 	May 2021, 	-4651.3
Oil Ad Valorem Tax, 	Jun 2021, 	1068.57
Oil Ad Valorem Tax, 	Jul 2021, 	-2841.48
Oil Ad Valorem Tax, 	Aug 2021, 	0
Oil Other Deduction, 	Mar 2021, 	0
Oil Other Deduction, 	Apr 2021, 	0
Oil Other Deduction, 	May 2021, 	0
Oil Other Deduction, 	Jun 2021, 	0
Oil Other Deduction, 	Jul 2021, 	-150
Oil Other Deduction, 	Aug 2021, 	0
Gas Severance Tax, 	Mar 2021, 	0
Gas Severance Tax, 	Apr 2021, 	-7441.3
Gas Severance Tax, 	May 2021, 	-7734.59
Gas Severance Tax, 	Jun 2021, 	-7512.79
Gas Severance Tax, 	Jul 2021, 	-11808.69
Gas Severance Tax, 	Aug 2021, 	-12246.72
Gas Marketing Charge, 	Mar 2021, 	0
Gas Marketing Charge, 	Apr 2021, 	0
Gas Marketing Charge, 	May 2021, 	0
Gas Marketing Charge, 	Jun 2021, 	-965.87
Gas Marketing Charge, 	Jul 2021, 	-321.28
